File,Energy
Si2B1Mo1-6662_POSCAR, -27.972
Si8P2-5893_POSCAR, -52.732
Si4B3P3-3417_POSCAR, -56.969
B2Mo8P2-7142_POSCAR, -113.76
Si2Mo4-108_POSCAR, -55.156
Si5P7-5986_POSCAR, -63.237
Mo4P6-5514_POSCAR,  -77.91
Si2B2P2-5504_POSCAR, -34.458
Si1B3-4503_POSCAR, -24.015
Si2B2P2-693_POSCAR, -34.886
Si2Mo3-2112_POSCAR, -44.082
Si3P3-67_POSCAR, -30.764
Si10Mo6-3993_POSCAR,  -123.2
Si3Mo3P4-6293_POSCAR, -71.517
Si4Mo4-5409_POSCAR, -66.076
Mo5P7-5345_POSCAR,   -95.1
B6Mo7-2377_POSCAR, -117.28
Mo4P8-3856_POSCAR, -89.028
Si8B4-824_POSCAR, -67.395
Si3Mo2P3-3034_POSCAR, -54.635
Si2B2P2-5408_POSCAR, -34.819
Mo3P9-1264_POSCAR, -82.871
Si4B5-5482_POSCAR, -51.927
P4-521_POSCAR, -21.508
Si2B1Mo4P3-4344_POSCAR, -80.594
B2Mo8P2-2163_POSCAR, -113.67
Si3Mo4P7-4744_POSCAR, -99.618
B1Mo2P2-7016_POSCAR, -39.797
B12Mo3-527_POSCAR, -111.57
Si4B2-2379_POSCAR, -32.769
Si10B1P4-6289_POSCAR, -79.591
Si4-437_POSCAR, -20.511
Si6B2P10-2283_POSCAR, -97.264
Si2B1Mo6P7-2525_POSCAR, -123.44
Si5B3P4-5535_POSCAR, -68.044
B2Mo2P1-6319_POSCAR, -41.609
Si2Mo3P3-3879_POSCAR, -61.867
Si4P4-5445_POSCAR, -42.082
Si2B6-484_POSCAR,  -48.05
Si3B4Mo5-2324_POSCAR, -98.488
Si4Mo2P2-2621_POSCAR, -53.746
Si5B5P6-2718_POSCAR, -91.896
Si4Mo2P4-4752_POSCAR, -65.697
Si2B4Mo6-4372_POSCAR, -105.18
Mo2P8-6654_POSCAR, -64.907
Si2B10-6516_POSCAR, -72.176
B7Mo5-6268_POSCAR, -102.92
Mo12P6-3300_POSCAR,  -165.5
Si2Mo2P4-1585_POSCAR, -55.412
Si4Mo7-1505_POSCAR, -98.973
Si6P12-6780_POSCAR, -94.135
Si6B6-701_POSCAR, -69.157
Si3Mo8P7-1009_POSCAR, -146.67
Si6Mo2-297_POSCAR, -53.813
Si1B2Mo7-3368_POSCAR, -95.674
Si1B1Mo2P2-2942_POSCAR, -45.438
Si2B2P6-1545_POSCAR, -55.359
Si1B4-3968_POSCAR, -29.654
Si8B3P3-5195_POSCAR, -77.672
Si6P2-5016_POSCAR, -42.843
Si1B8Mo3-5956_POSCAR,  -92.15
Si7B2-2926_POSCAR, -48.396
Si3Mo2P7-5667_POSCAR, -76.368
Si8Mo4-2624_POSCAR, -88.846
Si2B3Mo4P3-6203_POSCAR, -92.393
Si5P7-3499_POSCAR, -62.955
B2Mo6P4-2210_POSCAR, -103.91
Si1Mo1P3-3178_POSCAR, -32.964
Si6P2-1435_POSCAR, -42.899
Si7Mo4-1567_POSCAR, -82.868
Si2B3Mo4P1-3824_POSCAR, -81.206
Si2B1Mo3P2-4190_POSCAR, -62.265
Si7P3-3874_POSCAR, -53.158
Si8B8-4838_POSCAR, -90.937
B3Mo4P5-2849_POSCAR, -93.518
B4-5831_POSCAR, -25.293
Si8P8-493_POSCAR,  -83.35
B6P6-458_POSCAR,  -73.64
Si2B2Mo2P2-2439_POSCAR, -57.247
Mo8P4-1364_POSCAR, -111.58
Mo2P6-3088_POSCAR, -55.593
Si1B1Mo6P1-5308_POSCAR, -85.515
Si4B3P5-1373_POSCAR, -69.031
B7Mo12-6830_POSCAR, -178.58
Mo2P7-915_POSCAR, -59.828
Si4Mo4P4-3579_POSCAR, -88.257
Si2Mo1P5-7316_POSCAR, -49.132
Si1P5-7123_POSCAR, -31.616
Si3B3Mo3P3-2273_POSCAR, -85.409
B1Mo4P4-1205_POSCAR, -73.325
Si3B3Mo6-1466_POSCAR, -103.84
Si3P6-963_POSCAR, -47.197
B7Mo8P5-5634_POSCAR, -164.62
Si7P9-2257_POSCAR, -85.567
