id,composition,e_total
2015439,FeNi3,-24.94455659
2015442,Fe3Ni,-30.37543104
2015454,FeNi2,-38.2508892
2015457,Fe2Ni,-43.37262
2015466,FeNi3,-50.60520566
2020395,Fe,-23.01065037
2029852,Al,-7.42637364
2030086,AlNi,-19.96056441
2030097,AlNi2,-32.69754609
2030356,Ni,-20.20198505
2031002,AlFe3,-29.46642291
2031018,AlFe2Ni,-27.08816349
2031492,Fe,-24.09024997
2031493,Fe,-24.330903480000003
2031500,Ni,-16.3403374
2033132,AlFeNi,-17.82276201
2035005,AlFeNi2,-24.51673031
2035007,AlFeNi2,-24.50274537
2049262,Al13Fe3,-155.16766621
2050075,Al13Fe4,-262.64129764
2051979,Al8Fe3,-117.26934475000002
2066482,Ni,-87.10651885
2066491,Ni,-83.39686237
2066500,Ni,-48.47178139
2066509,Ni,-91.89931844
2069733,Ni,-86.05741328
2069748,Ni,-86.23030636
2069766,Ni,-86.27764639
2069769,Ni,-86.36811836
2069772,Ni,-87.08510338
2069787,Ni,-48.85053895
2069805,Ni,-48.841907539999994
2069808,Ni,-48.85050253
2069817,Ni,-48.85045575000001
2069820,Ni,-48.8504558
2069823,Ni,-48.85053975
2069826,Ni,-96.12208026
2069829,Ni,-96.11418688
2069835,Ni,-95.85717935
2069838,Ni,-96.13139652
2069841,Ni,-96.14523709
2069847,Ni,-96.09906301
2069850,Ni,-96.39879728
2069853,Ni,-96.1202184
2069856,Ni,-96.12704373
